,origin_id,destination_id,total_trips,Arrival Hour
0,"Leblon, (103)","STADIUM AREA, (182)",28.46,0
1,"Leme, (104)","STADIUM AREA, (182)",14.6,0
2,"Madureira, (106)","STADIUM AREA, (182)",14.23,0
3,"Maré, (113)","STADIUM AREA, (182)",10.66,0
4,"Méier, (115)","STADIUM AREA, (182)",13.79,0
5,"NITERÓI, (12)","STADIUM AREA, (182)",27.02,0
6,"Pavuna, (124)","STADIUM AREA, (182)",19.37,0
7,"Praça da Bandeira, (135)","STADIUM AREA, (182)",27.78,0
8,"Rio Comprido, (143)","STADIUM AREA, (182)",35.51,0
9,"Rocha, (144)","STADIUM AREA, (182)",23.42,0
10,"Santa Teresa, (149)","STADIUM AREA, (182)",18.07,0
11,"Santo Cristo, (150)","STADIUM AREA, (182)",20.31,0
12,"São Cristóvão, (157)","STADIUM AREA, (182)",53.79,0
13,"QUEIMADOS, (16)","STADIUM AREA, (182)",11.93,0
14,"Tijuca, (162)","STADIUM AREA, (182)",243.39,0
15,"Vasco da Gama, (169)","STADIUM AREA, (182)",12.74,0
16,"Vidigal, (172)","STADIUM AREA, (182)",13.52,0
17,"Vila Isabel, (174)","STADIUM AREA, (182)",120.75,0
18,"STADIUM AREA, (182)","BELFORD ROXO, (0)",12.11,0
19,"STADIUM AREA, (182)","Laranjeiras, (102)",14.93,0
20,"STADIUM AREA, (182)","Leblon, (103)",17.0,0
21,"STADIUM AREA, (182)","Lins de Vasconcelos, (105)",19.9,0
22,"STADIUM AREA, (182)","Maré, (113)",33.22,0
23,"STADIUM AREA, (182)","NITERÓI, (12)",21.16,0
24,"STADIUM AREA, (182)","Piedade, (129)",11.13,0
25,"STADIUM AREA, (182)","Praça da Bandeira, (135)",49.54,0
26,"STADIUM AREA, (182)","Realengo, (138)",10.77,0
27,"STADIUM AREA, (182)","Recreio dos Bandeirantes, (139)",13.38,0
28,"STADIUM AREA, (182)","Rio Comprido, (143)",41.26,0
29,"STADIUM AREA, (182)","Rocha, (144)",26.23,0
30,"STADIUM AREA, (182)","Sampaio, (147)",14.39,0
