origin_id,destination_id,total_trips
0,182,1074.94
1,182,10.61
10,182,482.31
100,182,10.38
101,182,500.17
102,182,502.62
103,182,840.54
104,182,169.34
105,182,574.03
106,182,381.55
107,182,159.25
108,182,357.91
109,182,423.87
11,182,347.13
111,182,697.04
112,182,218.82
113,182,1300.77
114,182,20.56
115,182,894.78
116,182,330.67
117,182,134.48
118,182,149.99
119,182,176.92
12,182,1167.2
121,182,246.4
122,182,180.06
123,182,58.73
124,182,619.31
125,182,208.34
126,182,28.29
127,182,404.92
128,182,385.3
129,182,686.08
13,182,43.64
130,182,228.13
131,182,21.61
132,182,82.03
133,182,25.53
134,182,281.61
135,182,2166.04
136,182,292.2
137,182,425.21
138,182,692.84
139,182,442.79
14,182,2121.09
140,182,328.15
141,182,16.6
142,182,89.06
143,182,2286.69
144,182,975.01
145,182,164.95
147,182,253.28
148,182,306.18
149,182,956.21
15,182,59.38
150,182,767.11
151,182,96.33
152,182,184.13
153,182,158.43
154,182,48.6
156,182,152.64
157,182,4166.18
158,182,820.83
159,182,114.96
16,182,569.55
160,182,379.39
161,182,84.33
162,182,15283.35
163,182,387.76
164,182,404.02
165,182,83.14
166,182,163.29
167,182,47.71
168,182,94.76
169,182,890.67
17,182,1296.61
170,182,53.92
171,182,157.37
172,182,55.71
173,182,212.47
174,182,5294.58
175,182,122.4
176,182,375.05
177,182,125.43
178,182,101.97
179,182,56.38
18,182,1647.0
181,182,165.93
182,0,1047.81
182,1,58.81
182,10,506.39
182,100,23.23
182,101,596.17
182,102,676.6
182,103,851.39
182,104,239.74
182,105,500.96
182,106,421.99
182,107,223.7
182,108,355.0
182,109,346.17
182,11,572.77
182,111,420.09
182,112,223.99
182,113,1317.58
182,114,19.72
182,115,830.02
182,116,488.34
182,117,194.22
182,118,172.65
182,119,230.15
182,12,2071.65
182,121,361.85
182,122,220.09
182,123,84.15
182,124,643.6
182,125,193.22
182,126,20.1
182,127,429.45
182,128,422.83
182,129,675.71
182,13,134.89
182,130,256.18
182,131,35.74
182,132,103.03
182,133,21.51
182,134,335.75
182,135,2100.97
182,136,339.56
182,137,528.01
182,138,808.2
182,139,703.24
182,14,2501.41
182,140,347.78
182,141,31.53
182,142,161.86
182,143,2401.71
182,144,1025.92
182,145,246.62
182,147,301.71
182,148,314.34
182,149,1149.86
182,15,80.42
182,150,944.99
182,151,148.35
182,152,406.76
182,153,272.79
182,154,74.58
182,155,50.34
182,156,263.48
182,157,3831.67
182,158,827.16
182,159,103.35
182,16,488.59
182,160,482.15
182,161,78.61
182,162,15264.01
182,163,362.62
182,164,357.53
182,165,120.01
182,166,207.84
182,167,96.78
182,168,124.22
182,169,748.33
182,17,2216.74
182,170,54.77
182,171,223.03
182,172,122.48
182,173,315.42
182,174,5495.35
182,175,173.36
182,176,403.42
182,177,213.35
182,178,155.63
182,179,62.67
182,18,1962.28
182,180,17.88
182,181,153.95
182,182,47416.52
182,19,138.42
182,2,3777.8
182,20,113.87
182,22,89.79
182,23,130.52
182,24,1119.52
182,25,224.24
182,26,3210.41
182,27,157.27
182,28,16.85
182,29,563.59
182,3,261.91
182,30,1763.01
182,31,42.97
182,32,130.94
182,33,1599.01
182,34,300.89
