origin_id,destination_id,total_trips
0,182,1777.06
1,182,17.09
10,182,857.11
100,182,36.47
101,182,626.78
102,182,680.88
103,182,985.02
104,182,254.32
105,182,767.23
106,182,718.86
107,182,199.98
108,182,422.97
109,182,586.72
11,182,680.37
111,182,1149.47
112,182,380.14
113,182,1702.98
114,182,28.21
115,182,1263.68
116,182,613.18
117,182,250.68
118,182,251.24
119,182,255.13
12,182,1492.74
121,182,342.1
122,182,209.34
123,182,144.36
124,182,1187.68
125,182,205.11
126,182,15.67
127,182,637.84
128,182,559.56
129,182,1137.66
13,182,49.58
130,182,296.01
131,182,12.6
132,182,98.73
133,182,27.02
134,182,378.2
135,182,2680.14
136,182,432.82
137,182,596.48
138,182,846.95
139,182,460.36
14,182,3225.47
140,182,431.14
141,182,28.44
142,182,107.35
143,182,2835.43
144,182,1203.12
145,182,262.1
147,182,336.37
148,182,417.34
149,182,1183.85
15,182,51.18
150,182,900.15
151,182,188.3
152,182,368.73
153,182,376.4
154,182,93.54
155,182,32.11
156,182,212.13
157,182,5388.74
158,182,943.38
159,182,171.15
16,182,644.89
160,182,541.85
161,182,53.6
162,182,21372.82
163,182,497.35
164,182,793.84
165,182,199.7
166,182,174.03
167,182,70.54
168,182,123.99
169,182,1057.85
17,182,1754.08
170,182,77.98
171,182,270.98
172,182,106.27
173,182,337.12
174,182,7122.94
175,182,173.61
176,182,715.2
177,182,226.62
178,182,174.31
179,182,67.88
18,182,2549.05
180,182,15.82
181,182,235.8
182,0,1105.18
182,1,55.1
182,10,625.38
182,100,27.32
182,101,626.57
182,102,893.33
182,103,1233.97
182,104,235.33
182,105,579.86
182,106,689.64
182,107,223.4
182,108,361.71
182,109,576.77
182,11,627.1
182,111,530.33
182,112,272.78
182,113,1519.09
182,115,1113.55
182,116,521.71
182,117,187.98
182,118,198.33
182,119,263.75
182,12,1706.2
182,121,380.75
182,122,245.23
182,123,101.38
182,124,809.08
182,125,132.9
182,127,497.61
182,128,441.65
182,129,773.86
182,13,92.81
182,130,311.6
182,131,23.37
182,132,114.88
182,134,308.4
182,135,2809.55
182,136,439.59
182,137,576.74
182,138,716.5
182,139,501.8
182,14,2749.77
182,140,454.73
182,141,16.53
182,142,208.6
182,143,2908.25
182,144,1008.78
182,145,241.81
182,147,434.74
182,148,285.07
182,149,1048.48
182,15,65.4
182,150,1040.21
182,151,122.06
182,152,386.86
182,153,264.97
182,154,61.54
182,155,37.13
182,156,231.25
182,157,4916.47
182,158,821.78
182,159,128.97
182,16,409.45
182,160,452.54
182,161,33.86
182,162,20366.16
182,163,402.51
182,164,493.42
182,165,170.2
182,166,169.94
182,167,77.16
182,168,104.36
182,169,947.14
182,17,1498.49
182,170,57.46
182,171,249.01
182,172,83.72
182,173,241.75
182,174,6774.52
182,175,149.01
182,176,612.87
182,177,158.69
182,178,155.43
182,179,45.69
182,18,1758.76
182,181,180.54
182,182,58173.58
182,19,103.35
182,2,3907.73
182,20,87.72
182,22,198.53
182,23,184.54
182,24,1222.96
182,25,293.29
182,26,3653.98
182,27,155.2
182,28,37.26
182,29,646.8
182,3,108.98
182,30,1961.87
182,32,123.16
182,33,2075.8
182,34,249.96
182,35,718.26
182,36,2977.48
182,37,270.04
182,38,927.07
182,39,48.21
182,4,179.42
182,40,763.45
182,41,24.45
182,42,80.16
182,43,878.05
182,44,45.24
182,45,294.98
182,46,724.88
182,47,587.06
182,48,92.39
182,49,4607.27
182,5,93.83
182,50,1870.85
182,51,183.98
182,52,127.99
182,53,30.07
182,54,434.4
182,55,303.11
182,56,375.41
182,57,3383.5
182,58,260.7
182,59,367.63
182,6,407.08
182,60,118.48
182,61,127.79
182,62,99.71
182,63,528.12
182,64,677.63
182,65,195.3
182,66,112.1
182,67,1236.09
182,68,580.72
182,69,909.28
182,7,415.2
182,70,1204.48
182,71,1026.5
182,72,64.69
182,73,588.78
182,74,390.31
182,75,1207.74
182,76,50.49
182,78,372.17
182,79,1670.14
182,8,149.71
182,81,249.17
182,82,126.48
182,83,440.6
182,84,384.31
182,85,92.74
182,86,520.72
182,87,1268.57
182,88,105.69
182,89,1181.94
182,9,528.76
182,90,658.79
182,91,273.77
182,92,1333.08
182,93,250.72
182,94,457.44
182,95,179.34
182,96,722.72
182,97,98.77
182,98,343.23
182,99,68.03
19,182,232.84
2,182,4975.15
20,182,33.51
22,182,120.0
23,182,205.4
24,182,1253.72
25,182,369.47
26,182,3891.07
27,182,151.21
28,182,42.22
29,182,686.29
3,182,77.38
30,182,1586.15
31,182,10.16
32,182,117.48
33,182,2024.8
34,182,447.63
35,182,528.79
36,182,2604.09
37,182,349.59
38,182,1027.48
39,182,66.16
4,182,289.35
40,182,908.21
41,182,28.59
42,182,130.78
43,182,913.76
44,182,58.56
45,182,420.01
46,182,560.08
47,182,633.77
48,182,184.46
49,182,4115.29
5,182,82.18
50,182,1466.37
51,182,213.82
52,182,110.64
53,182,11.32
54,182,410.05
55,182,342.22
56,182,418.66
57,182,3103.64
58,182,307.16
59,182,384.05
6,182,483.53
60,182,146.29
61,182,226.0
62,182,99.75
63,182,514.3
64,182,832.7
65,182,311.69
66,182,106.87
67,182,1531.08
68,182,593.14
