origin_id,destination_id,total_trips
0,182,1273.77
1,182,27.37
10,182,546.13
100,182,26.46
101,182,665.77
102,182,641.61
103,182,1079.49
104,182,330.49
105,182,647.8
106,182,350.21
107,182,124.44
108,182,387.29
109,182,498.23
11,182,430.2
111,182,818.7
112,182,253.94
113,182,1055.01
114,182,32.44
115,182,950.98
116,182,499.11
117,182,150.19
118,182,199.15
119,182,192.72
12,182,1701.89
121,182,282.94
122,182,125.59
123,182,69.34
124,182,717.41
125,182,241.21
126,182,19.14
127,182,532.25
128,182,434.15
129,182,829.49
13,182,39.41
130,182,252.95
131,182,41.82
132,182,125.0
133,182,26.69
134,182,218.16
135,182,2036.88
136,182,392.95
137,182,445.35
138,182,694.46
139,182,558.16
14,182,2227.36
140,182,323.79
141,182,12.6
142,182,69.19
143,182,2456.4
144,182,1030.18
145,182,265.44
147,182,282.1
148,182,325.42
149,182,1234.0
15,182,28.88
150,182,1070.45
151,182,173.61
152,182,378.39
153,182,212.31
154,182,76.76
155,182,11.31
156,182,235.36
157,182,4512.78
158,182,813.52
159,182,186.15
16,182,447.27
160,182,506.12
161,182,104.86
162,182,15945.25
163,182,347.83
164,182,433.73
165,182,110.29
166,182,159.27
167,182,55.48
168,182,78.52
169,182,961.72
17,182,1578.61
170,182,48.84
171,182,200.13
172,182,50.75
173,182,309.2
174,182,5784.95
175,182,142.58
176,182,610.87
177,182,177.79
178,182,123.87
179,182,52.13
18,182,1920.49
180,182,17.61
181,182,170.47
182,0,766.9
182,1,59.85
182,10,488.61
182,100,28.58
182,101,650.71
182,102,748.52
182,103,1016.66
182,104,346.69
182,105,560.82
182,106,333.74
182,107,181.51
182,108,357.78
182,109,380.67
182,11,492.41
182,111,424.34
182,112,249.38
182,113,1215.03
182,114,19.55
182,115,837.3
182,116,396.87
182,117,124.38
182,118,210.29
182,119,169.49
182,12,1652.37
182,121,326.82
182,122,217.83
182,123,55.24
182,124,553.47
182,125,145.77
182,126,24.32
182,127,483.94
182,128,332.86
182,129,692.26
182,13,97.77
182,130,212.83
182,131,30.26
182,132,101.2
182,133,11.46
182,134,215.1
182,135,2260.18
182,136,429.58
182,137,441.61
182,138,670.4
182,139,584.31
182,14,2186.76
182,140,365.45
182,141,16.99
182,142,76.76
182,143,2550.98
182,144,912.38
182,145,226.56
182,147,326.49
182,148,341.21
182,149,1198.83
182,15,63.09
182,150,1020.54
182,151,179.04
182,152,381.84
182,153,187.82
182,154,58.08
182,155,31.46
182,156,186.46
182,157,4381.59
182,158,752.53
182,159,148.8
182,16,351.39
182,160,480.92
182,161,80.27
182,162,15263.36
182,163,290.47
182,164,330.29
182,165,81.04
182,166,240.46
182,167,78.53
182,168,117.18
182,169,883.94
182,17,1271.18
182,170,48.14
182,171,196.88
182,172,81.57
182,173,243.02
182,174,5676.11
182,175,181.19
182,176,543.86
182,177,148.45
182,178,102.41
182,179,55.35
182,18,1284.9
182,180,12.31
182,181,123.9
182,182,52322.77
182,19,129.43
182,2,3219.82
182,20,85.89
182,22,114.48
182,23,115.75
182,24,1367.07
182,25,213.03
182,26,3420.5
182,27,147.02
182,28,48.31
182,29,491.17
182,3,160.22
182,30,1791.73
182,32,119.54
182,33,1558.51
182,34,239.88
182,35,460.66
182,36,2127.89
182,37,213.4
182,38,830.31
182,39,47.89
182,4,213.36
182,40,665.82
182,41,15.03
182,42,58.48
182,43,805.67
182,44,27.15
182,45,301.7
182,46,562.51
182,47,492.4
182,48,52.43
182,49,3525.4
182,5,107.46
182,50,1547.17
182,51,134.98
182,52,63.49
182,53,16.98
182,54,298.29
182,55,232.98
182,56,317.11
182,57,2906.84
182,58,255.37
182,59,362.59
182,6,220.74
182,60,143.13
182,61,99.47
182,62,70.96
182,63,489.89
182,64,372.69
182,65,216.26
182,66,66.89
182,67,975.82
182,68,504.91
182,69,844.8
182,7,515.76
182,70,1060.81
182,71,821.29
182,72,68.75
182,73,531.81
182,74,380.88
182,75,713.81
182,76,59.44
182,77,14.12
182,78,497.64
182,79,1719.98
182,8,96.24
182,81,109.28
182,82,208.53
182,83,405.93
182,84,302.35
182,85,119.14
182,86,608.92
182,87,884.8
182,88,104.2
182,89,916.45
182,9,497.83
182,90,534.76
182,91,304.68
182,92,1356.51
182,93,191.67
182,94,358.55
182,95,111.35
182,96,829.92
182,97,94.61
182,98,171.87
182,99,70.3
19,182,203.88
2,182,3811.31
20,182,45.86
22,182,120.7
23,182,95.42
24,182,1002.98
25,182,258.36
26,182,3061.07
27,182,155.48
28,182,71.06
29,182,511.4
3,182,126.24
30,182,1611.59
31,182,21.44
32,182,117.11
33,182,1414.68
34,182,230.23
35,182,394.47
36,182,2216.5
37,182,292.15
38,182,821.65
39,182,53.69
4,182,337.6
40,182,846.68
41,182,21.42
42,182,96.51
