origin_id,destination_id,total_trips
0,182,1299.39
1,182,27.55
10,182,550.33
100,182,14.78
101,182,521.72
102,182,796.86
103,182,1155.78
104,182,200.34
105,182,643.78
106,182,408.81
107,182,180.71
108,182,470.24
109,182,470.76
11,182,532.87
111,182,1648.57
112,182,336.37
113,182,1764.63
114,182,30.16
115,182,976.35
116,182,643.81
117,182,277.79
118,182,221.47
119,182,237.85
12,182,2221.0
121,182,412.85
122,182,121.71
123,182,78.16
124,182,729.6
125,182,243.84
126,182,19.7
127,182,712.53
128,182,579.03
129,182,1166.03
13,182,78.46
130,182,228.8
131,182,43.73
132,182,104.78
133,182,18.41
134,182,326.45
135,182,2248.75
136,182,425.57
137,182,552.51
138,182,907.14
139,182,880.88
14,182,2902.62
140,182,416.62
141,182,16.68
142,182,158.55
143,182,2599.85
144,182,1355.91
145,182,181.87
147,182,347.86
148,182,400.5
149,182,1243.25
15,182,141.7
150,182,827.83
151,182,208.23
152,182,163.5
153,182,231.15
154,182,91.24
155,182,10.14
156,182,375.87
157,182,5159.18
158,182,1050.27
159,182,180.58
16,182,823.75
160,182,576.86
161,182,84.07
162,182,15168.38
163,182,393.46
164,182,894.94
165,182,104.8
166,182,144.93
167,182,135.63
168,182,133.08
169,182,1114.15
17,182,2492.73
170,182,38.29
171,182,173.9
172,182,122.86
173,182,337.21
174,182,5830.65
175,182,145.73
176,182,1143.57
177,182,199.85
178,182,158.43
179,182,87.31
18,182,2037.98
181,182,287.68
182,0,911.43
182,1,30.52
182,10,467.39
182,100,10.93
182,101,438.35
182,102,837.53
182,103,727.51
182,104,264.79
182,105,624.42
182,106,344.48
182,107,456.56
182,108,407.1
182,109,505.52
182,11,599.72
182,111,466.94
182,112,241.9
182,113,1540.18
182,114,31.9
182,115,851.6
182,116,444.59
182,117,180.63
182,118,182.59
182,119,380.7
182,12,2214.52
182,121,401.5
182,122,201.08
182,123,73.35
182,124,628.42
182,125,243.49
182,126,28.85
182,127,516.28
182,128,419.51
182,129,862.6
182,13,131.02
182,130,261.26
182,131,21.92
182,132,156.75
182,133,16.29
182,134,276.66
182,135,2320.88
182,136,471.58
182,137,611.12
182,138,1157.35
182,139,651.55
182,14,2369.98
182,140,496.42
182,141,21.75
182,142,288.31
182,143,2388.86
182,144,1127.12
182,145,189.18
182,147,479.77
182,148,443.51
182,149,1155.1
182,15,176.08
182,150,920.22
182,151,160.07
182,152,151.98
182,153,257.55
182,154,136.12
182,155,43.38
182,156,242.5
182,157,4914.31
182,158,981.31
182,159,139.88
182,16,427.82
182,160,396.64
182,161,78.12
182,162,15092.38
182,163,314.38
182,164,411.36
182,165,95.03
182,166,117.11
182,167,87.34
182,168,180.3
182,169,1041.11
182,17,2239.96
182,170,31.62
182,171,272.75
182,172,118.46
182,173,299.28
182,174,5659.48
182,175,209.74
182,176,922.43
182,177,174.88
182,178,158.84
182,179,50.14
182,18,1677.36
182,181,138.45
182,182,63680.42
182,19,281.81
182,2,3467.0
182,20,150.67
182,22,128.04
182,23,149.35
182,24,916.12
182,25,265.32
182,26,3346.98
182,27,168.24
182,28,56.76
182,29,730.26
182,3,87.38
182,30,1795.46
182,31,11.12
182,32,79.77
182,33,1744.66
182,34,284.18
182,35,423.5
182,36,1943.62
182,37,298.7
182,38,793.52
182,39,41.06
182,4,334.06
182,40,689.29
182,42,35.19
182,43,965.55
182,44,48.04
182,45,304.49
182,46,635.85
182,47,451.54
182,48,94.67
182,49,2019.27
182,5,141.07
182,50,486.53
182,51,173.62
182,52,76.19
182,53,27.72
182,54,403.3
182,55,208.09
182,56,296.77
182,57,3507.33
182,58,281.34
