origin_id,destination_id,total_trips
0,182,2809.8
1,182,23.08
10,182,1432.92
100,182,17.95
101,182,932.92
102,182,1270.91
103,182,1570.5
104,182,259.38
105,182,1508.72
106,182,1140.5
107,182,396.36
108,182,776.19
109,182,1192.9
11,182,1307.31
111,182,2687.2
112,182,809.33
113,182,2833.59
114,182,38.63
115,182,2300.13
116,182,1249.45
117,182,456.59
118,182,357.89
119,182,494.97
12,182,2977.3
121,182,620.08
122,182,290.38
123,182,222.22
124,182,1992.23
125,182,527.29
126,182,20.64
127,182,1309.88
128,182,1056.14
129,182,1898.06
13,182,24.21
130,182,569.02
131,182,47.42
132,182,233.05
133,182,45.26
134,182,654.09
135,182,5237.04
136,182,972.22
137,182,1019.24
138,182,1683.82
139,182,632.52
14,182,5204.06
140,182,777.45
141,182,25.41
142,182,391.26
143,182,4481.25
144,182,2131.68
145,182,606.49
147,182,634.53
148,182,629.29
149,182,1664.29
15,182,87.96
150,182,1492.05
151,182,269.72
152,182,431.75
153,182,543.7
154,182,182.96
155,182,75.77
156,182,235.23
157,182,9002.69
158,182,1671.44
159,182,399.54
16,182,1111.47
160,182,1079.91
161,182,92.51
162,182,29644.13
163,182,1013.0
164,182,2354.94
165,182,262.28
166,182,297.87
167,182,68.44
168,182,139.89
169,182,1686.79
17,182,2913.09
170,182,123.53
171,182,426.98
172,182,78.13
173,182,565.22
174,182,10663.77
175,182,257.74
176,182,2084.23
177,182,466.11
178,182,335.38
179,182,133.49
18,182,4381.5
180,182,11.72
181,182,474.77
182,0,1457.88
182,1,71.74
182,10,1030.4
182,100,15.34
182,101,1274.25
182,102,1592.53
182,103,1789.78
182,104,276.94
182,105,1080.14
182,106,1173.41
182,107,689.49
182,108,630.02
182,109,842.15
182,11,1234.87
182,111,1139.29
182,112,602.66
182,113,2272.59
182,114,55.87
182,115,2084.37
182,116,837.2
182,117,323.48
182,118,225.62
182,119,437.24
182,12,2961.01
182,121,727.69
182,122,547.47
182,123,114.02
182,124,1203.52
182,125,377.68
182,126,15.94
182,127,926.95
182,128,712.03
182,129,1484.03
182,13,31.43
182,130,629.29
182,131,57.51
182,132,200.57
182,133,34.75
182,134,384.83
182,135,5383.76
182,136,911.08
182,137,861.08
182,138,1503.31
182,139,654.83
182,14,3920.98
182,140,830.39
182,141,20.89
182,142,536.98
182,143,4082.21
182,144,1719.45
182,145,420.82
182,147,769.19
182,148,491.15
182,149,1378.11
182,15,112.86
182,150,1582.4
182,151,302.97
182,152,432.04
182,153,397.78
182,154,304.23
182,155,34.77
182,156,281.32
182,157,8336.62
182,158,1349.79
182,159,253.43
182,16,525.3
182,160,687.26
182,161,59.26
182,162,28926.35
182,163,788.8
182,164,1030.45
182,165,180.07
182,166,335.44
182,167,73.4
182,168,145.01
182,169,1419.02
182,17,2442.28
182,170,79.15
182,171,668.89
182,172,130.34
182,173,393.0
182,174,10000.81
182,175,402.94
182,176,1800.85
182,177,295.67
182,178,270.42
182,179,81.4
182,18,2636.71
182,180,17.95
182,181,260.94
182,182,100283.27
182,19,131.71
182,2,5815.08
182,20,87.7
182,22,231.38
182,23,184.14
182,24,1472.31
182,25,493.99
182,26,5299.63
182,27,184.77
182,28,45.86
182,29,1032.04
182,3,186.77
182,30,2294.32
182,31,10.36
182,32,195.69
182,33,2907.87
182,34,530.45
182,35,1332.85
182,36,5461.5
182,37,492.69
182,38,1446.99
182,39,88.92
182,4,226.31
182,40,1034.82
182,41,13.27
182,42,116.06
182,43,1371.73
182,44,56.96
182,45,686.9
182,46,1138.9
182,47,525.31
182,48,159.58
182,49,14041.04
182,5,123.69
182,50,1976.27
182,51,877.71
182,52,138.09
182,53,22.69
182,54,707.06
182,55,373.19
182,56,569.77
182,57,5510.34
182,58,401.66
182,59,452.91
182,6,468.68
182,60,172.3
182,61,246.38
182,62,150.27
182,63,783.51
182,64,1622.69
182,65,390.91
182,66,208.61
182,67,2084.97
182,68,1187.2
182,69,1703.3
182,7,546.03
182,70,1857.89
182,71,1824.51
182,72,40.1
182,73,937.85
182,74,689.43
182,75,1329.91
182,76,120.07
182,77,11.15
182,78,661.4
182,79,2455.45
182,8,90.41
182,81,341.77
182,82,184.2
182,83,795.1
182,84,675.93
182,85,193.17
182,86,913.66
182,87,2551.65
182,88,206.73
182,89,1756.49
182,9,417.97
182,90,1241.79
182,91,406.25
182,92,2169.32
182,93,464.94
182,94,744.97
182,95,217.71
182,96,1157.03
182,97,110.5
182,98,432.47
182,99,170.91
19,182,249.46
2,182,8057.98
20,182,67.86
22,182,209.4
23,182,309.76
24,182,1391.24
25,182,608.8
26,182,5270.41
27,182,298.45
28,182,82.53
29,182,1298.42
3,182,82.06
30,182,2260.97
31,182,13.75
32,182,233.82
33,182,3228.82
34,182,879.43
35,182,1194.7
36,182,4389.29
37,182,810.12
38,182,1877.94
39,182,114.66
4,182,440.4
40,182,1491.95
41,182,20.08
42,182,160.25
43,182,1745.83
44,182,66.21
45,182,876.83
46,182,978.79
47,182,990.12
48,182,233.81
49,182,10939.37
5,182,105.07
50,182,1803.85
51,182,961.04
52,182,261.29
53,182,21.12
54,182,892.12
55,182,772.6
56,182,783.49
57,182,4381.13
58,182,584.58
59,182,754.9
6,182,852.63
60,182,265.17
61,182,356.76
62,182,165.25
63,182,852.97
64,182,1761.87
65,182,776.17
66,182,196.09
67,182,2737.88
68,182,1173.28
69,182,1869.37
7,182,652.93
70,182,1896.78
71,182,1640.6
72,182,97.94
73,182,1193.21
74,182,742.88
75,182,1139.11
76,182,133.62
78,182,651.46
79,182,2898.8
8,182,37.37
81,182,479.38
82,182,258.53
83,182,657.51
84,182,780.1
85,182,303.89
86,182,593.01
87,182,2641.4
88,182,313.36
89,182,1348.97
9,182,337.71
90,182,1686.89
91,182,403.53
92,182,2117.7
93,182,647.52
94,182,1037.36
95,182,352.11
96,182,706.8
97,182,185.35
98,182,401.51
99,182,211.47
