Arrival Hour,total_trips
0,1103.08
1,1106.8
2,805.3
3,754.75
4,718.01
5,1697.49
6,4627.65
7,7642.57
8,8031.2699999999995
9,8679.71
10,8943.36
11,9139.31
12,9160.28
13,9216.34
14,8593.49
15,8721.03
16,8694.81
17,8684.07
18,7951.9800000000005
19,7126.03
20,5698.0199999999995
21,4701.54
22,3793.56
23,3169.56
